league_id,queue_type,tier,rank,summoner_id,league_points,wins,losses,veteran,inactive,fresh_blood,hot_streak,retrieval_time
59d75075-fa10-4a01-a700-ad76f1d69355,RANKED_SOLO_5x5,GOLD,II,Ce4Lc7AwI5NGAt3MZdGKcFBBRoOEk__AsNX6KDPWf7Bhmbl2,90,6,1,0,0,0,1,2024-09-05 04:44:49
849ac629-10b4-412b-add3-7d9115aa97f9,RANKED_SOLO_5x5,GOLD,II,CESUPLiA833c5RRlV3eR9B0ur_64Ukzw8AP7hqrk4ZgveLZhcNzNi1edmw,32,11,12,0,0,0,0,2024-09-05 02:42:53
2321a30b-f9af-4286-ad6e-fca50e5fbd82,RANKED_SOLO_5x5,GOLD,III,CFaL8ZgVlKBYlpFiurgxIWX3BkRW8XhSlHUyS5tti8472yTE,69,20,14,0,0,0,0,2024-09-05 04:45:01
575dbc9a-4ada-47e5-afbc-356ef07e7c8d,RANKED_SOLO_5x5,GOLD,I,CFEwhdlPbSmEmFe5PUE9ajCUOpTs-MLa9naUvKxzh8w,4,29,13,0,0,0,0,2024-09-04 19:31:47
c1014ef0-e536-4eea-b5ef-e6e7c8557115,RANKED_SOLO_5x5,GOLD,II,CfvBrIaMLIvWwoZxLauTlJu5odCaIh1l9lWVc4SavbdjHlmp,90,8,5,0,0,0,0,2024-09-05 01:17:48
51af3690-a169-404a-9428-f6663ae95e37,RANKED_SOLO_5x5,GOLD,I,CGa3CnYjdUqaRXeyabsflYo7k2WGDTzhQToqmSxDTo1E5gQeynu5LDS1JA,70,3,2,0,0,0,0,2024-09-05 02:02:19
3f78dbf4-c8f5-4e11-a60b-879a5fdf8264,RANKED_SOLO_5x5,GOLD,IV,CGLw3-ClY0djAdtw_Bo48AHi-4el7T4AhYY-ctBdBDbvZzQr,0,2,8,0,0,0,0,2024-09-05 04:45:06
163cf635-c96f-4d9d-8c25-79b871e4c441,RANKED_SOLO_5x5,GOLD,I,cgMqETqAZpcJPewykGZlouwio4r5gj1EknTe2KIGxhBaAoY,75,164,159,0,0,0,0,2024-09-05 02:42:51
22b927eb-0cb0-4bf3-ab1c-bf7925dfde60,RANKED_SOLO_5x5,GOLD,III,CgUpHg-hg04mShPiAdQ8Dr5YtK4UZapClYEbX5YinbSCGh1A,63,34,17,0,0,0,0,2024-09-05 04:44:58
26286e10-cded-4417-bc3f-cd9e028f1fe9,RANKED_SOLO_5x5,GOLD,III,ciPGJUOYikhwZTSjAFDoTIMkVWxX_75CvjOOrRoBBeXifUbc,82,38,13,0,0,0,0,2024-09-05 04:45:01
0eb1b222-3e05-4e4d-ba93-84cdd211ca39,RANKED_SOLO_5x5,GOLD,III,CisZDq0jptlxVAw4aaaqdsm8I93zI6uOdyBQmE_l568VHmc,85,21,18,0,0,0,0,2024-09-05 02:02:24
cdcf73c0-fc34-4dbd-aae2-7f36d10444cb,RANKED_SOLO_5x5,GOLD,IV,cJJSvAwHq5eampdbwjjOvkEr-_PWERMonHDdKS4Cb9-gBqKS,65,24,17,0,0,0,0,2024-09-04 19:32:11
23048763-c38c-4815-8712-25bd80254b73,RANKED_SOLO_5x5,GOLD,IV,CjqD6kINp3bQiCrP1WONKicB8qKJvK95evs9l5xDr1AZzDmi,96,2,4,0,0,0,0,2024-09-05 04:45:15
d7b2bd62-2ef5-45d6-8851-064c79724056,RANKED_SOLO_5x5,GOLD,IV,cKfnzPeAk92PX_NK7uYFnihSA9SCQ_KO49ENLlq6HzgkiYf6,91,20,24,0,0,0,0,2024-09-04 19:32:09
ad39f80e-28f3-4690-a773-7dcf393cf25c,RANKED_SOLO_5x5,GOLD,III,CkmDrOH8BRCAD3c0ypRG9DABPAwxs9kGN1tetr0nASvSpNxl,66,26,22,0,0,0,0,2024-09-04 15:12:39
0840b97e-5af9-4083-99e2-a9907f36431b,RANKED_SOLO_5x5,GOLD,IV,ckWUYsbnByiQxt9O7wrOFT5evL7A6O151NAP2RB1tfOp9rDC,19,22,16,0,0,0,0,2024-09-05 04:45:06
ec0ba0a3-bbbe-4998-9d29-c0e560f23afd,RANKED_SOLO_5x5,GOLD,I,CLNz3-5dMh3izQRPpC75f4jdyyWaT6JoqJNwQVq8m88Xujji,16,28,43,0,0,0,0,2024-09-04 19:31:47
cbfcfa14-c4b3-4585-ab30-5b5dfab21ee2,RANKED_SOLO_5x5,GOLD,I,ClpyF8ug-GYf-w6gQ_LD8F-vqAvdgNH5Su3RD_a65An-1wNP,93,5,7,0,0,0,0,2024-09-05 04:44:39
aebe8d8a-cced-4b02-a55f-2bd5e61d912c,RANKED_SOLO_5x5,GOLD,I,Clzfo7kibTfaaLIeUbEwKzK9z4aeu4LedjITJh7XW2ePPg2S,46,41,63,0,0,0,0,2024-09-05 04:44:32
47a76b1b-e83d-4fda-91b8-c152cb05b324,RANKED_SOLO_5x5,GOLD,I,CmFG7yydlEUe1CwBooEOwwvRF5N1OzLki08B5HbWPfpRJi-r,37,11,8,0,0,0,0,2024-09-05 04:44:32
262bb45a-7456-443a-b4b4-039d72146f1b,RANKED_SOLO_5x5,GOLD,IV,cMgmTTZZuHR-rl35VhAHqUZcND2yfRTip8bc0JWHxvESf6CL,14,36,34,0,0,0,1,2024-09-05 02:02:26
eb27e6f3-4846-4a74-9a10-93125f874093,RANKED_SOLO_5x5,GOLD,II,CMilKP1exBHTF7EmO4c9LW7QBTWKF7mQH7wdpBfhFk2OfWy6,5,14,16,0,0,0,0,2024-09-04 19:31:57
db6b1e07-39c6-418a-8bf0-5a4ec1cac15c,RANKED_SOLO_5x5,GOLD,III,cMrsig3qxCc_rn0_cQ1Dh7_dzjr4LEeDLiKnJWPH5_fLuVv7,17,136,144,0,0,0,1,2024-09-04 19:32:02
96503834-b277-4166-8d2b-b5a87769fb6e,RANKED_SOLO_5x5,GOLD,III,CmtreFx9jjo55AQUV-5EW6xBAox7lm3csEAutX2cerS8obbzXhqpu_gsoA,84,40,22,0,0,0,1,2024-09-05 02:42:55
857d897d-4b7d-4a4a-b8dc-4d15c507b832,RANKED_SOLO_5x5,GOLD,I,cN4ISeXTdHUIKs6er05O2Bqul949kODXFfHzaHYhVeFNhWPk,13,25,16,0,0,0,0,2024-09-05 04:44:34
26e4a8d7-814c-4558-a0dc-d92674d39b62,RANKED_SOLO_5x5,GOLD,IV,cnQwthExGGlW26-tH8PjPxQqOqdRpl8hzqf0_RfdeWuV0pcM,5,5,8,0,0,0,0,2024-09-04 19:32:11
90ed6349-7aa2-4d32-9371-fc235947b360,RANKED_SOLO_5x5,GOLD,II,conxChzaXOrQILFPcMhENiQuEhBy28c1ojlpY95dHFvslfU1yuvAKx6fJA,6,8,16,0,0,0,0,2024-09-05 02:02:21
60e7060e-92db-4830-bee5-1b28d00ba7a8,RANKED_SOLO_5x5,GOLD,II,CP-gmIOb7-pRD_BVXerE3yCoLu-vxoZd7qz92b5lKa3lXixp,23,87,103,0,0,0,0,2024-09-04 19:31:57
a7f2a352-252e-4884-add4-33ed20d2d3b9,RANKED_SOLO_5x5,GOLD,II,cp4OTcyEV6kZd0Z-KpSYw-YJPNCaUdZJeNp6jIPIoffM-1wD,63,2,5,0,0,0,0,2024-09-04 19:31:57
01f49805-e83d-44aa-a9c9-ba401827da31,RANKED_SOLO_5x5,GOLD,II,cpAs3cQgKg9MrmsLvhnhWt7SbptrOMRe3BBVpFxfijYZcb9H,20,16,19,0,0,0,0,2024-09-05 04:44:41
56cd9881-e715-467d-89bc-dbace4a77fcc,RANKED_SOLO_5x5,GOLD,II,cPw7SkfF-uQGdrCzAWhhgPhoahlR1P_jk0UXqUuttwpBLxpm,98,5,10,0,0,0,0,2024-09-05 04:44:41
01266bbd-f0a9-400f-ada5-5f3dbaa3f5f9,RANKED_SOLO_5x5,GOLD,II,cQg8ghkYC3kby1s5IQleDvYgjL8WTFYE0Q8tYFeMKoKnrLCQ,57,33,53,0,0,0,0,2024-09-05 04:44:49
ef3b7fcc-0507-4195-a631-c97cf07f9018,RANKED_SOLO_5x5,GOLD,I,cqisdx25BZBkDjqHa2pTR4cv3ToYdV9HtcB7YeP7-wVNPYV0,39,26,23,0,0,0,0,2024-09-05 04:44:29
fefcc32e-4e12-4214-9f87-2d06ffda01dd,RANKED_SOLO_5x5,GOLD,IV,CQjXH69kf0PEdYF4SjnyXT-Qn9jjx8r7yrabl86WVhqST6X_,0,11,9,0,0,0,0,2024-09-05 04:45:08
35ba529a-5d4e-4c1f-8bc7-05d953863271,RANKED_SOLO_5x5,GOLD,IV,crEFJzOpc12rd1AduTjCFCvcOVHurMdWCIbVRxAptiDsQVU2,40,3,4,0,0,0,0,2024-09-05 04:45:15
cd4320c1-7754-418b-a359-0cb02e47e18d,RANKED_SOLO_5x5,GOLD,I,cS6YMlchzEHwCQOZ-fuV_EuJH1s3JjaiiJnfobh56VlXfR4M,7,33,40,0,0,0,0,2024-09-05 04:44:34
01173219-6d30-4801-81f9-a5a399c5b233,RANKED_SOLO_5x5,GOLD,II,CsGWfZKzWxKNtgKV9A_E79EE3lBkD4x6Nn95bZTVjGNOLuT-J5PKI4y3eQ,70,4,7,0,0,0,0,2024-09-05 02:42:53
f3f277c3-0b4e-4cc8-8592-fbc86dc0efad,RANKED_SOLO_5x5,GOLD,IV,CSiA124Sa1fhcGHzMA-ThAp2m3JuRiD0ywX2hhJQJCuKEyxL,24,4,2,0,0,0,0,2024-09-04 19:32:09
cc400a12-8d1a-4507-8f45-af7761e4452e,RANKED_SOLO_5x5,GOLD,III,csrm3yaVF1i75WxaP1o9rdUJX_Dr_jHtCjNkwr5Twk6hduw,44,10,6,0,0,0,0,2024-09-05 02:42:55
857d897d-4b7d-4a4a-b8dc-4d15c507b832,RANKED_SOLO_5x5,GOLD,II,ctakgWy3GPpWPI5EQBelK3JQ4971Au_zSWtLtXh9dLZAG-pD,1,11,14,0,0,0,0,2024-09-04 19:31:57
5b0639a2-52d1-4347-88a1-8a0b42e49d13,RANKED_SOLO_5x5,GOLD,III,CUBDFMENbJHNtQCSc1EmM8o0dcCJgtRo6IHBLmpTvhb2FXa1,80,21,19,0,0,0,0,2024-09-04 15:12:42
3473abbb-9145-4a85-a235-b326040663cf,RANKED_SOLO_5x5,GOLD,IV,cUfYk8ibzfWO2DfseePivIXcn3qdQmKdDq9hPaEy5eV3A3yv,0,151,145,0,0,0,0,2024-09-05 04:45:11
f49e4c80-c9de-428e-834a-d0a7a6698b48,RANKED_SOLO_5x5,GOLD,III,cuRCL7A98W8pHHr6wB4fqceLK9gYkCidE3jotA12FAAXFqJl,1,9,12,0,0,0,0,2024-09-05 04:44:58
11288062-3a49-4475-ac2b-cdad669f90e5,RANKED_SOLO_5x5,GOLD,I,cuvi4bY3juCC10XzDi1kTnyaA2CYBZycOyp9EKHlBuRtAlI9,50,4,13,0,0,1,0,2024-09-05 04:44:29
c08e70cf-7952-414d-abb5-b7db7adcfa3e,RANKED_SOLO_5x5,GOLD,I,CVO1E-b9d9Ma9ScwQvvGp32XoJwesdH6011bKg2h_DR5TIr3,26,43,52,0,0,0,0,2024-09-05 04:44:34
3104e4b2-aa4c-4178-ba5c-1faf3e1d2c28,RANKED_SOLO_5x5,GOLD,I,CvqLwrVN5aG2r7nORI02HtVyR0_p3AdSargLH6UEBgykEGRx,56,136,119,0,0,0,1,2024-09-04 15:12:27
0ddfc446-5a5f-472c-957e-de00cb3b16ac,RANKED_SOLO_5x5,GOLD,IV,CVUOKsy16SXEiuVkBmInKMdEhPHIm7Kah1ifKaU35M8uliyQ,37,52,53,0,0,0,0,2024-09-05 04:45:15
64f68e80-fd45-405c-b044-fc76d0469d73,RANKED_SOLO_5x5,GOLD,IV,CWrDhb2PS04DFr-P_WUpWuf4vLk4F4aSFxO_M7CaU2jB5otr,63,3,3,0,0,0,0,2024-09-04 19:32:11
c2af08b9-946b-4a5f-a1b6-98d585ddef06,RANKED_SOLO_5x5,GOLD,II,CXEcKWFMjHy5107QItfXpgwGxTPp6zM8vy93fYlvt2l_Fd8X,9,4,2,0,0,0,0,2024-09-05 04:44:49
e3170663-e005-4f23-b196-72b3200dd2d4,RANKED_SOLO_5x5,GOLD,I,cxX94RDEoDfgHr60GvjnY3UbxZNf8CUu630uPgiByS53sjkm,8,6,7,0,0,0,1,2024-09-04 19:31:47
a3e0a2f3-0fe6-4a54-a424-86fe72596a75,RANKED_SOLO_5x5,GOLD,II,Cz94RUq8sH-RpnRjAKxFpXU93OhtiFdTvQCT2E2c8foCdAD9,22,34,36,0,0,0,1,2024-09-04 19:31:57
