deaths_normalized_late,kills_normalized_late,assists_normalized_late,game_duration_normalized_late,total_minions_killed_normalized_late,gold_earned_normalized_late,total_damage_dealt_normalized_late,total_damage_taken_normalized_late,deaths_normalized_mid,kills_normalized_mid,assists_normalized_mid,game_duration_normalized_mid,total_minions_killed_normalized_mid,gold_earned_normalized_mid,total_damage_dealt_normalized_mid,total_damage_taken_normalized_mid,deaths_normalized_initial,kills_normalized_initial,assists_normalized_initial,game_duration_normalized_initial,binary_time_group
1.1108944844872146,0.1687443477420404,0.6271331492947263,0.42709112732722254,-0.933962733241395,0.425232506594834,1.3745333494487761,1.264301152246154,-0.1342154651947019,0.31061202621614653,0.15783322778921008,0.05219732522669686,-0.9151033021793357,0.3586360394281568,1.073390297523122,0.6847785007583977,0.06827646433834333,0.6527634860654613,0.30721456619036125,0.4418161256864719,Inactive
0.31577104789233684,-0.04919274731027823,-0.42947390776220273,-0.07448461898731074,-0.0771322318532403,-0.18316368813295666,-0.04475223052767172,0.27717932904937786,-0.4320166321953292,0.09170716310309543,-0.4327995715388481,-0.44620357712075337,-0.08049185303246494,-0.11380378021325999,0.2795776549953268,0.6210856748523513,1.1108944844872146,0.3579012523741819,-0.9518198576397208,-0.013203784086696507,Active
-0.666444453639972,-0.3092650871098396,0.2476262778785615,-0.23595737411257747,0.25041177811549137,-0.2548524596811317,-0.23602824108240616,-0.5950292841026135,-0.4515964327606807,-0.1360084430541876,0.04233573931900517,-0.361042260919066,0.21049846796048943,-0.2723586075651985,-0.33812344108527564,-0.634708978130504,-0.38982111246967815,-0.7694958100137003,0.011977565995056812,-0.3437937320562783,Active
-0.08730837755736243,-0.648333397564782,0.4778940036878496,0.011234234555877288,-0.08174869676248261,-0.20665032147580728,-0.40303947655849437,0.6645380613828451,0.21310458476352104,-0.25961456454126647,0.010731822631679048,0.07031643833799843,0.2538886921183368,-0.04389436400602583,-0.0032590413354026096,0.6105136746227406,0.08550982004328338,0.07416589542596962,0.45169392630200994,0.3528841197855508,Inactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08550982004328335,0.45247970469025267,0.6271331492947264,1.3000953449396897,-0.11188496899778788,1.2755276952962202,1.7907232581877637,1.0500303286209813,0.02273116711814471,-0.31428131944360665,-0.21873453299158466,-0.04603155075632177,Inactive
-0.3980217003481274,0.17399884267533278,-0.26692534690185193,0.4721633061752886,-0.10204812009711849,0.3329994281062186,1.3867256395432486,0.9842027999029599,0.45421306725028676,-0.15039867066871068,-0.044663166057454844,0.15164655135723548,-0.4396886168577985,-0.26061988535968705,0.08557333716889612,0.3240713014505534,0.08550982004328338,0.45247970469025267,0.10081548031657726,0.17874500875442775,Active
0.09378911112476243,-0.4480438669575267,0.23189309198968192,0.19317572051533527,-0.07305298169852559,-0.1152552667113678,0.10759803426880919,0.6986043815396935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3784768670272637,-1.0607755323668795,1.6797684872510243,0.45479507680944664,Active
-0.563202926849816,-0.39872636615438417,-0.05582668306977662,-0.12444362205868827,0.48816271673498285,-0.253850165057224,-0.26926305348102814,-0.7966003298700413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6894352719788582,-0.38957361270444185,-0.09160173199801486,-0.3393954473451418,Active
0.09842862542806599,0.0628117469803349,-0.43718264559281994,0.05803151795171276,0.7231323457792874,0.1477963043346399,0.1861460359523766,-0.2880942870530705,0.9644109609952244,-0.30414791383831347,-0.07462374267613908,-0.4881286323533957,0.22081473794315434,-0.5428985095605813,-0.6724976371880549,-0.480067419513825,0.0,0.0,0.0,0.0,Active
-0.6469077974166675,-0.564238657707508,-0.052693839802049544,0.06075586676316966,-0.1955434708884608,-0.44035759157215437,-0.5876810467399577,-0.8765874825668534,-0.523402081531264,-0.20771498206506478,-0.26726288949167076,0.06470872370084696,0.575815793228975,0.013969015845875968,0.0895853327487664,-0.19345401759667727,0.0,0.0,0.0,0.0,Inactive
-0.2444359362061474,0.34392316573177645,-0.20177962901910831,0.2365399080875457,0.12729030938342906,0.36878637973023726,0.6586659276937207,0.19443349866499018,-0.09344449072511667,-0.13009547134519953,0.45450753170533753,-0.18745027562612812,-0.49324302267626746,0.2150497502248263,0.6665935972543032,0.23920458962523242,0.671443914011244,0.45247970469025267,-0.42550218866157175,0.47755189245555935,Active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09585073285156161,0.5245394778834495,0.2094207135977826,0.009034760395633053,0.7546817095460616,0.3143057078686872,-0.0190877879653486,-0.2795403767600294,-0.19414054298687972,0.06556785430632685,0.5473880479344008,-0.013383679862555104,Inactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5779618337751572,0.6012675812034114,-0.026166960727437995,-0.19894747941904012,0.4259686784879451,0.30018225470223087,0.190383522638333,-0.2531098473268941,0.0,0.0,0.0,0.0,Inactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04365738475985758,-0.24409810284398278,-0.6649906517944861,-0.12552727994659837,0.8490018922447119,0.17200735936930117,0.37168399423403525,0.24553597206681346,0.0,0.0,0.0,0.0,Inactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37486696807440006,0.18225555521576478,-0.17487472724340555,-0.23172575296179085,-0.31802614954425196,-0.136111268637569,-0.0232530783190859,-0.18595763503130877,-0.30848034659034534,0.15243771803237302,0.0887162235584589,0.020504962327635334,Inactive
